name,country,alt,failures
"Autodromo Hermanos Rodriguez",Mexico,2227,7
"Autodromo Jose Carlos Pace",Brazil,785,1
"Red Bull Ring",Austria,678,4
"Circuit Paul Ricard",France,432,1
"Circuit de Spa-Francorchamps",Belgium,401,4
Hungaroring,Hungary,264,1
"Autodromo Nazionale di Monza",Italy,162,7
"Circuit of the Americas",USA,161,3
"Circuit de Barcelona-Catalunya",Spain,109,3
Hockenheimring,Germany,103,3
"Suzuka Circuit",Japan,45,1
"Sepang International Circuit",Malaysia,18,2
"Marina Bay Street Circuit",Singapore,18,5
"Circuit Gilles Villeneuve",Canada,13,2
"Albert Park Grand Prix Circuit",Australia,10,5
"Bahrain International Circuit",Bahrain,7,5
"Circuit Park Zandvoort",Netherlands,6,1
"Shanghai International Circuit",China,5,1
"Yas Marina Circuit",UAE,3,4
"Baku City Circuit",Azerbaijan,-7,1
