name,alt,failures
"Autodromo Nazionale di Monza",162,7
"Autodromo Hermanos Rodriguez",2227,7
"Albert Park Grand Prix Circuit",10,5
"Bahrain International Circuit",7,5
"Marina Bay Street Circuit",18,5
"Circuit de Spa-Francorchamps",401,4
"Red Bull Ring",678,4
"Yas Marina Circuit",3,4
"Circuit de Barcelona-Catalunya",109,3
"Circuit of the Americas",161,3
Hockenheimring,103,3
"Circuit Gilles Villeneuve",13,2
"Sepang International Circuit",18,2
"Shanghai International Circuit",5,1
"Autodromo Jose Carlos Pace",785,1
"Circuit Paul Ricard",432,1
"Suzuka Circuit",45,1
"Baku City Circuit",-7,1
Hungaroring,264,1
"Circuit Park Zandvoort",6,1
