name,total_points
Ferrari,10138
Mercedes,6924
"Red Bull",6347
McLaren,6149
Williams,3599
Renault,1777
"Force India",1098
"Team Lotus",995
Benetton,862
Tyrrell,711
"Lotus F1",706
Brabham,631
Sauber,557
BRM,538
"Toro Rosso",500
Ligier,388
"Alfa Romeo",345
Cooper-Climax,337
"Alpine F1 Team",325
Maserati,316
"BMW Sauber",308
Jordan,291
AlphaTauri,284
"Racing Point",283
Lotus-Climax,281
Toyota,279
"Haas F1 Team",233
BAR,227
Lotus-Ford,209
Brabham-Repco,175
Brawn,172
Honda,156
March,149
McLaren-Ford,143
Arrows,142
"Kurtis Kraft",132
"Aston Martin",132
Matra-Ford,130
Vanwall,108
Cooper-Maserati,83
Wolf,79
Brabham-Climax,78
Brabham-Ford,68
Shadow,59
Surtees,54
Matra,54
Cooper,52
Porsche,50
Jaguar,49
Hesketh,48
Stewart,47
Fittipaldi,44
Epperly,44
Minardi,38
March-Ford,37
Watson,36
Prost,35
Lotus-BRM,29
Lola,27
Toleman,26
Footwork,25
Gordini,25
Talbot-Lago,25
Penske,23
Larrousse,22
Kuzma,21
Cooper-BRM,20
Ensign,19
"Brabham-Alfa Romeo",18
Connaught,17
Dallara,15
Eagle-Weslake,13
Brabham-BRM,13
BRP,11
Shadow-Ford,10
Lesovsky,10
Deidt,10
Lancia,9
"Leyton House",8
ATS,7
Phillips,7
Onyx,6
Rial,6
Parnelli,6
"Iso Marlboro",6
McLaren-BRM,6
Osella,5
Simca,5
"Super Aguri",4
Eagle-Climax,4
"Embassy Hill",3
Cooper-Castellotti,3
"Frazer Nash",3
Sherman,3
AGS,2
Zakspeed,2
Theodore,2
HWM,2
Schroeder,2
Marussia,2
Spyker,1
Tecno,1
McLaren-Serenissima,1
Trevis,1
"Manor Marussia",1
MF1,0
"Spyker MF1",0
Forti,0
Pacific,0
Simtek,0
Fondmetal,0
"Andrea Moda",0
Lambo,0
Coloni,0
"Euro Brun",0
Life,0
RAM,0
Spirit,0
Merzario,0
Kauhsen,0
Rebaque,0
Martini,0
LEC,0
McGuire,0
Boro,0
Apollon,0
Kojima,0
Maki,0
Lyncar,0
Shadow-Matra,0
Trojan,0
Amon,0
Token,0
Politoys,0
Connew,0
"March-Alfa Romeo",0
"Lotus-Pratt &amp; Whitney",0
Bellasi,0
"De Tomaso",0
"McLaren-Alfa Romeo",0
BRM-Ford,0
LDS,0
LDS-Climax,0
Cooper-ATS,0
Protos,0
Cooper-Ferrari,0
Shannon,0
"LDS-Alfa Romeo",0
Cooper-Ford,0
RE,0
Scirocco,0
Derrington,0
Gilby,0
Lotus-Borgward,0
"De Tomaso-Ferrari",0
Lotus-Maserati,0
Stebro,0
Emeryson,0
"De Tomaso-Alfa Romeo",0
ENB,0
"De Tomaso-Osca",0
"Cooper-Alfa Romeo",0
JBW,0
Ferguson,0
MBM,0
Behra-Porsche,0
Scarab,0
Meskowski,0
Christensen,0
Ewing,0
Moore,0
Dunn,0
Elder,0
Sutton,0
Cooper-Borgward,0
Fry,0
Cooper-OSCA,0
Tec-Mec,0
OSCA,0
Stevens,0
Bugatti,0
Pawl,0
Pankratz,0
Arzani-Volpini,0
Nichels,0
Bromme,0
Klenk,0
Turner,0
"Del Roy",0
Veritas,0
BMW,0
EMW,0
AFM,0
"Aston Butterworth",0
ERA,0
Alta,0
Cisitalia,0
Hall,0
Marchese,0
Langley,0
Rae,0
Olson,0
Wetteroth,0
Snowberger,0
Adams,0
Milano,0
Lotus,0
HRT,0
Virgin,0
Caterham,0
