year,nationality,surname,points
2022,Dutch,Verstappen,454
2021,Dutch,Verstappen,396
2020,British,Hamilton,347
2019,British,Hamilton,413
2018,British,Hamilton,408
2017,British,Hamilton,363
2016,German,Rosberg,385
2015,British,Hamilton,381
2014,British,Hamilton,384
2013,German,Vettel,397
2012,German,Vettel,281
2011,German,Vettel,392
2010,German,Vettel,256
2009,British,Button,95
2008,British,Hamilton,98
2007,Finnish,Räikkönen,110
2006,Spanish,Alonso,134
2005,Spanish,Alonso,133
2004,German,Schumacher,148
2003,German,Schumacher,93
2002,German,Schumacher,144
2001,German,Schumacher,123
2000,German,Schumacher,108
1999,Finnish,Häkkinen,76
1998,Finnish,Häkkinen,100
1997,Canadian,Villeneuve,81
1996,British,Hill,97
1995,German,Schumacher,102
1994,German,Schumacher,92
1993,French,Prost,99
1992,British,Mansell,108
1991,Brazilian,Senna,96
1990,Brazilian,Senna,78
1989,French,Prost,76
1988,Brazilian,Senna,90
1987,Brazilian,Piquet,73
1986,French,Prost,72
1985,French,Prost,73
1984,Austrian,Lauda,72
1984,French,Prost,72
1983,Brazilian,Piquet,59
1982,Finnish,Rosberg,44
1981,Brazilian,Piquet,50
1980,Australian,Jones,67
1979,"South African",Scheckter,51
1978,American,Andretti,64
1977,Austrian,Lauda,72
1976,British,Hunt,69
1975,Austrian,Lauda,65
1974,Brazilian,Fittipaldi,55
1973,British,Stewart,71
1972,Brazilian,Fittipaldi,61
1971,British,Stewart,62
1970,Austrian,Rindt,45
1969,British,Stewart,63
1968,British,Hill,48
1967,"New Zealander",Hulme,51
1966,Australian,Brabham,42
1965,British,Clark,54
1964,British,Surtees,40
1963,British,Clark,54
1962,British,Hill,42
1961,American,Hill,34
1960,Australian,Brabham,43
1959,Australian,Brabham,31
1958,British,Hawthorn,42
1957,Argentine,Fangio,40
1956,Argentine,Fangio,30
1955,Argentine,Fangio,40
1954,Argentine,Fangio,42
1953,Italian,Ascari,35
1952,Italian,Ascari,36
1951,Argentine,Fangio,31
1950,Italian,Farina,30
